player,team,pos,pa,ab,runs,hits,batting_average,doubles,triples,hr,runs_batted_in,total_bases,walks,strikeouts,stolen_bases,on_base_percent,slg_percent,on_base_plus_slg
Daulton Varsho,TOR,CF,271,248,43,59,0.238,13,2,20,55,136,17,77,2,0.284,0.548,0.832
Ceddanne Rafaela,BOS,CF,587,546,84,136,0.249,34,4,16,63,226,28,117,20,0.295,0.414,0.709
Josh Naylor,SEA,1B,604,543,81,160,0.295,29,1,20,92,251,48,83,30,0.353,0.462,0.815
Ryan O'Hearn,SD,1B,544,474,67,133,0.281,21,1,17,63,207,58,109,3,0.366,0.437,0.803
Alec Bohm,PHI,3B,504,464,53,133,0.287,18,3,11,59,190,29,82,2,0.331,0.409,0.74
Nico Hoerner,CHC,2B,649,599,89,178,0.297,29,4,7,61,236,39,49,29,0.345,0.394,0.739
Fernando Tatis Jr.,SD,RF,691,594,111,159,0.268,27,2,25,71,265,89,129,32,0.368,0.446,0.814
Austin Wells,NYY,C,448,401,51,88,0.219,22,1,21,71,175,30,118,5,0.275,0.436,0.711
Matt Chapman,TOR,3B,535,454,76,105,0.231,23,2,21,61,195,71,126,9,0.34,0.43,0.77
Anthony Volpe,NYY,SS,596,539,65,114,0.212,32,4,19,72,211,43,150,18,0.272,0.391,0.663
Bryce Harper,PHI,1B,580,501,72,131,0.261,32,0,27,75,244,70,121,12,0.357,0.487,0.844
Kerry Carpenter,DET,RF,464,433,66,109,0.252,18,5,26,62,215,18,106,1,0.291,0.497,0.788
Trea Turner,PHI,SS,639,589,94,179,0.304,31,7,15,69,269,43,107,36,0.355,0.457,0.812
Mookie Betts,LAD,SS,663,589,95,152,0.258,23,2,20,82,239,61,68,8,0.326,0.406,0.732
Gleyber Torres,DET,2B,628,532,79,136,0.256,22,0,16,74,206,85,101,4,0.358,0.387,0.745
Parker Meadows,DET,CF,213,191,22,41,0.215,6,2,4,16,63,21,56,4,0.291,0.33,0.621
Jackson Chourio,MIL,CF,589,549,88,148,0.27,35,4,21,78,254,30,121,21,0.308,0.463,0.771
Randy Arozarena,SD,LF,709,613,95,146,0.238,32,1,27,76,261,64,191,31,0.334,0.426,0.76
Ian Happ,CHC,LF,663,569,87,138,0.243,32,0,23,79,239,87,151,6,0.342,0.42,0.762
Cody Bellinger,NYY,LF,656,588,89,160,0.272,25,5,29,98,282,57,90,13,0.334,0.48,0.814
William Contreras,MIL,C,659,566,89,147,0.26,28,0,17,76,226,84,120,6,0.355,0.399,0.754
Brandon Marsh,PHI,CF,425,379,59,106,0.28,25,2,11,43,168,38,110,7,0.342,0.443,0.785
Aaron Judge,NYY,RF,679,541,137,179,0.331,30,2,53,114,372,124,160,12,0.457,0.688,1.145
Nathan Lukes,TOR,RF,438,388,55,99,0.255,19,2,12,65,158,38,60,2,0.323,0.407,0.73
Manny Machado,SD,3B,678,615,91,169,0.275,33,0,27,95,283,55,131,14,0.335,0.46,0.795
Dansby Swanson,CHC,SS,645,590,84,144,0.244,24,3,24,77,246,47,168,20,0.3,0.417,0.717
Tommy Edman,LAD,2B,377,346,49,78,0.225,13,1,13,49,132,19,61,3,0.274,0.382,0.656
Shohei Ohtani,LAD,DH,727,611,146,172,0.282,25,9,55,102,380,109,187,20,0.392,0.622,1.014
Elly De La Cruz,CIN,SS,699,629,102,166,0.264,31,7,22,86,277,67,181,37,0.336,0.44,0.776
Max Muncy,LAD,3B,388,313,48,76,0.243,10,2,19,67,147,64,83,4,0.376,0.47,0.846
Christian Yelich,MIL,LF,644,573,88,151,0.264,21,0,29,103,259,64,167,16,0.343,0.452,0.795
Kyle Manzardo,CLE,1B,531,470,47,110,0.234,19,2,27,70,214,48,135,2,0.313,0.455,0.768
Pete Crow-Armstrong,CHC,CF,647,591,91,146,0.247,37,4,31,95,284,29,155,35,0.287,0.481,0.768
Brice Turang,MIL,2B,659,584,97,168,0.288,28,2,18,81,254,66,150,24,0.359,0.435,0.794
Freddy Fermin,SD,C,347,319,32,80,0.251,13,0,5,26,108,19,65,1,0.297,0.339,0.636
J.P. Crawford,SEA,SS,654,570,69,151,0.265,24,0,12,58,211,74,122,8,0.352,0.37,0.722
Luis Arraez,SD,1B,675,620,66,181,0.292,30,4,8,61,243,34,21,11,0.327,0.392,0.719
Dillon Dingler,DET,C,469,435,54,121,0.278,21,2,13,57,185,23,110,0,0.327,0.425,0.752
Jake Cronenworth,SD,2B,515,419,61,103,0.246,20,1,11,59,158,69,107,3,0.367,0.377,0.744
Seiya Suzuki,CHC,RF,651,571,75,140,0.245,31,3,32,103,273,71,164,5,0.326,0.478,0.804
Jorge Polanco,SEA,2B,524,471,64,125,0.265,30,0,26,78,233,42,82,6,0.326,0.495,0.821
J.T. Realmuto,PHI,C,550,502,57,129,0.257,26,1,12,52,193,35,129,8,0.315,0.384,0.699
Alejandro Kirk,TOR,C,506,451,45,127,0.282,18,0,15,76,190,48,59,1,0.348,0.421,0.769
Jackson Merrill,SD,CF,483,440,59,116,0.264,25,6,16,67,201,33,108,1,0.317,0.457,0.774
Trevor Story,BOS,SS,654,612,91,161,0.263,29,0,25,96,265,33,176,31,0.308,0.433,0.741
Vladimir Guerrero Jr.,TOR,1B,680,589,96,172,0.292,34,0,23,84,275,81,94,6,0.381,0.467,0.848
Kyle Schwarber,PHI,LF,724,604,111,145,0.24,23,2,56,132,340,108,197,10,0.365,0.563,0.928
Tyler Stephenson,CIN,C,342,299,40,69,0.231,18,0,13,50,126,37,116,0,0.316,0.421,0.737
Ernie Clement,TOR,3B,588,545,83,151,0.277,35,2,9,50,217,27,61,6,0.313,0.398,0.711
Spencer Torkelson,DET,1B,649,563,82,135,0.24,27,1,31,78,257,72,169,2,0.333,0.456,0.789
Giancarlo Stanton,NYY,DH,281,249,36,68,0.273,8,0,24,66,148,29,96,0,0.35,0.594,0.944
Sal Frelick,MIL,RF,594,528,76,152,0.288,20,3,12,63,214,47,80,19,0.351,0.405,0.756
Trent Grisham,SD,CF,581,494,87,116,0.235,9,1,34,74,229,82,137,3,0.348,0.464,0.812
Austin Hays,CIN,LF,416,380,60,101,0.266,16,5,15,64,172,29,107,7,0.315,0.453,0.768
Jazz Chisholm Jr.,NYY,2B,531,462,75,112,0.242,15,1,31,80,222,58,148,31,0.332,0.481,0.813
Gabriel Arias,CLE,SS,471,432,44,95,0.22,25,2,11,54,157,27,162,8,0.274,0.363,0.637
Andy Pages,LAD,CF,624,581,74,158,0.272,27,1,27,86,268,29,135,14,0.313,0.461,0.774
Steven Kwan,CLE,LF,693,625,81,170,0.272,29,1,11,56,234,55,60,21,0.33,0.374,0.704
Nick Castellanos,PHI,RF,589,547,72,137,0.25,27,2,17,72,219,32,133,4,0.294,0.4,0.694
Freddie Freeman,LAD,1B,627,556,81,164,0.295,39,2,24,90,279,60,128,6,0.367,0.502,0.869
Michael Busch,CHC,1B,592,524,78,137,0.261,25,5,34,90,274,56,139,4,0.343,0.523,0.866
Riley Greene,DET,LF,655,600,84,155,0.258,31,1,36,111,296,46,201,2,0.313,0.493,0.806
Addison Barger,TOR,3B,502,460,61,112,0.243,32,1,21,74,209,36,121,4,0.301,0.454,0.755
Cal Raleigh,SEA,C,705,596,110,147,0.247,24,0,60,125,351,97,188,14,0.359,0.589,0.948
Max Kepler,PHI,LF,474,417,58,90,0.216,19,0,18,52,163,48,93,3,0.3,0.391,0.691
Zach McKinstry,DET,3B,511,452,68,117,0.259,23,11,12,49,198,46,111,19,0.333,0.438,0.771
Will Smith,LAD,C,436,362,64,107,0.296,20,1,17,61,180,64,89,2,0.404,0.497,0.901
Alex Bregman,HOU,3B,495,433,64,118,0.273,28,0,18,62,200,51,70,1,0.36,0.462,0.822
Jarren Duran,BOS,LF,696,620,86,159,0.256,41,13,16,84,274,60,169,24,0.332,0.442,0.774
Xander Bogaerts,SD,SS,552,491,63,129,0.263,30,0,11,53,192,48,94,20,0.328,0.391,0.719
Carson Kelly,CHC,C,421,369,48,92,0.249,13,1,17,50,158,45,80,2,0.333,0.428,0.761
Spencer Steer,CIN,1B,568,509,66,121,0.238,21,2,21,75,209,51,129,7,0.312,0.411,0.723
Bryson Stott,PHI,2B,560,499,66,128,0.257,22,3,13,66,195,54,91,24,0.328,0.391,0.719
Andrew Vaughn,MIL,1B,447,406,35,103,0.254,22,0,14,65,167,31,80,0,0.307,0.411,0.718
Kyle Tucker,CHC,RF,597,500,91,133,0.266,25,4,22,73,232,87,88,25,0.377,0.464,0.841
Carlos Narvaez,BOS,C,446,403,51,97,0.241,27,0,15,50,169,38,111,1,0.306,0.419,0.725
Andres Gimenez,TOR,2B,369,329,39,69,0.21,11,1,7,35,103,25,66,12,0.285,0.313,0.598
Caleb Durbin,NA,NA,506,445,60,114,0.256,25,0,11,53,172,30,50,18,0.334,0.387,0.721
Eugenio Suarez,SEA,3B,657,558,91,134,0.228,28,0,49,118,309,46,196,4,0.298,0.526,0.824
George Springer,TOR,RF,586,498,106,154,0.309,27,1,32,84,279,69,111,18,0.399,0.56,0.959
Javier Baez,DET,CF,437,417,55,107,0.257,17,3,12,57,166,10,109,5,0.282,0.398,0.68
Jose Ramirez,CLE,3B,673,593,103,168,0.283,34,3,30,85,298,66,74,44,0.36,0.503,0.863
Julio Rodriguez,SEA,CF,710,652,106,174,0.267,31,4,32,95,309,44,152,30,0.324,0.474,0.798
Teoscar Hernandez,LAD,RF,546,511,65,126,0.247,29,1,25,89,232,26,134,5,0.284,0.454,0.738
TJ Friedl,CIN,CF,685,579,82,151,0.261,22,2,14,53,219,81,115,12,0.364,0.378,0.742
Enrique Hernandez,LAD,1B,256,232,30,47,0.203,8,0,10,35,85,18,68,0,0.255,0.366,0.621
